Hips,Spine1,Head,LeftUpperArm,LeftForeArm,LeftHand,RightUpperArm,RightForeArm,RightHand,LeftUpLeg,LeftLeg,LeftFoot,RightUpLeg,RightLeg,RightFoot
"(0.02, 359.99, 359.99)","(0.03, 359.95, 0.10)","(353.09, 359.94, 0.10)","(89.95, 269.98, 0.00)","(89.87, 310.76, 40.77)","(89.87, 141.55, 231.56)","(84.99, 193.99, 106.12)","(85.87, 166.82, 82.08)","(89.93, 89.91, 0.00)","(0.59, 359.97, 179.71)","(2.72, 359.97, 180.45)","(297.52, 5.30, 173.98)","(0.73, 359.97, 180.43)","(2.72, 359.80, 179.25)","(297.53, 354.39, 186.31)",
"(0.02, 359.99, 359.98)","(0.03, 359.95, 0.10)","(353.09, 359.94, 0.10)","(89.94, 269.98, 0.00)","(89.86, 310.94, 40.95)","(89.88, 143.45, 233.46)","(84.99, 194.02, 106.15)","(85.88, 166.83, 82.10)","(89.93, 89.91, 0.00)","(0.58, 359.97, 179.71)","(2.72, 359.97, 180.45)","(297.52, 5.31, 173.97)","(0.72, 359.97, 180.42)","(2.72, 359.80, 179.25)","(297.53, 354.39, 186.30)",
"(0.02, 359.99, 359.98)","(0.02, 359.96, 0.10)","(353.08, 359.94, 0.10)","(89.94, 269.99, 0.00)","(89.86, 310.98, 40.99)","(89.89, 269.89, 0.00)","(84.99, 194.05, 106.18)","(85.89, 166.84, 82.11)","(89.93, 89.91, 0.00)","(0.58, 359.97, 179.71)","(2.72, 359.97, 180.45)","(297.52, 5.31, 173.96)","(0.72, 359.98, 180.42)","(2.71, 359.80, 179.26)","(297.53, 354.40, 186.29)",
"(0.01, 359.99, 359.98)","(0.02, 359.96, 0.10)","(353.08, 359.94, 0.10)","(89.93, 269.99, 0.00)","(89.86, 310.79, 40.80)","(89.89, 269.89, 0.00)","(84.99, 194.10, 106.23)","(85.89, 166.83, 82.11)","(89.92, 89.90, 0.00)","(0.58, 359.97, 179.70)","(2.72, 359.97, 180.45)","(297.52, 5.31, 173.96)","(0.72, 359.98, 180.42)","(2.71, 359.80, 179.26)","(297.53, 354.40, 186.29)",
"(0.01, 359.99, 359.97)","(0.02, 359.96, 0.10)","(353.08, 359.94, 0.10)","(89.93, 270.00, 0.00)","(89.85, 310.69, 40.70)","(89.89, 269.89, 0.00)","(84.99, 194.10, 106.24)","(85.89, 166.83, 82.11)","(89.93, 89.90, 0.00)","(0.58, 359.97, 179.70)","(2.72, 359.97, 180.45)","(297.52, 5.31, 173.96)","(0.72, 359.98, 180.42)","(2.71, 359.80, 179.27)","(297.53, 354.41, 186.29)",
"(0.01, 359.99, 359.97)","(0.02, 359.96, 0.10)","(353.08, 359.94, 0.10)","(89.93, 270.00, 0.00)","(89.85, 310.50, 40.52)","(89.89, 269.89, 0.00)","(85.00, 194.10, 106.24)","(85.89, 166.82, 82.11)","(89.92, 89.90, 0.00)","(0.58, 359.97, 179.70)","(2.72, 359.97, 180.45)","(297.52, 5.31, 173.97)","(0.72, 359.98, 180.42)","(2.71, 359.80, 179.28)","(297.53, 354.41, 186.29)",
"(0.01, 359.99, 359.97)","(0.02, 359.96, 0.10)","(353.08, 359.94, 0.10)","(89.93, 270.00, 0.00)","(89.85, 310.12, 40.14)","(89.89, 269.89, 0.00)","(84.99, 194.11, 106.25)","(85.90, 166.80, 82.11)","(89.92, 89.90, 0.00)","(0.58, 359.97, 179.70)","(2.72, 359.97, 180.45)","(297.52, 5.31, 173.97)","(0.71, 359.98, 180.42)","(2.71, 359.80, 179.28)","(297.53, 354.40, 186.29)",
"(0.01, 359.99, 359.97)","(0.02, 359.95, 0.10)","(353.08, 359.94, 0.10)","(89.92, 270.00, 0.00)","(89.85, 310.30, 40.31)","(89.89, 269.89, 0.00)","(84.99, 194.10, 106.25)","(85.90, 166.78, 82.09)","(89.93, 89.89, 0.00)","(0.58, 359.97, 179.70)","(2.72, 359.97, 180.45)","(297.52, 5.30, 173.97)","(0.72, 359.98, 180.42)","(2.71, 359.80, 179.29)","(297.53, 354.41, 186.28)",
"(0.02, 359.99, 359.98)","(0.02, 359.95, 0.10)","(353.08, 359.94, 0.10)","(89.93, 270.00, 0.00)","(89.86, 310.54, 40.56)","(89.89, 269.88, 0.00)","(84.99, 194.09, 106.25)","(85.90, 166.76, 82.08)","(89.93, 89.89, 0.00)","(0.58, 359.97, 179.71)","(2.72, 359.96, 180.45)","(297.52, 5.29, 173.98)","(0.72, 359.97, 180.42)","(2.71, 359.80, 179.30)","(297.53, 354.40, 186.28)",
"(0.02, 359.99, 359.98)","(0.02, 359.95, 0.10)","(353.08, 359.94, 0.10)","(89.93, 269.99, 0.00)","(89.86, 310.46, 40.48)","(89.89, 269.89, 0.00)","(84.99, 194.06, 106.23)","(85.90, 166.72, 82.06)","(89.93, 89.89, 0.00)","(0.58, 359.97, 179.71)","(2.72, 359.96, 180.45)","(297.52, 5.29, 173.98)","(0.72, 359.97, 180.42)","(2.72, 359.79, 179.31)","(297.53, 354.40, 186.29)",
